SignupMonth,1,2,3,4,5,6,7,8,9,10,11,12
2024-01,1.0,0.0008803924034712615,0.00037731103005911207,0.0016350144635894855,0.001006162746824299,0.0005030813734121495,0.0005030813734121495,0.001006162746824299,0.0005030813734121495,0.00025154068670607473,0.001006162746824299,0.0006288517167651867
2024-02,1.0,0.0005436259853220984,0.0012231584669747215,0.0001359064963305246,0.0004077194889915738,0.0005436259853220984,0.0009513454743136721,0.0014949714596357705,0.0009513454743136721,0.0009513454743136721,0.0009513454743136721,0.0
2024-03,1.0,0.0008812791136850056,0.0010071761299257208,0.0005035880649628604,0.0006294850812035755,0.0011330731461664358,0.0011330731461664358,0.0007553820974442906,0.0008812791136850056,0.0008812791136850056,0.0,0.0
2024-04,1.0,0.0013157894736842105,0.0014473684210526317,0.0007894736842105263,0.0013157894736842105,0.0009210526315789473,0.0006578947368421052,0.0010526315789473684,0.0007894736842105263,0.0,0.0,0.0
2024-05,1.0,0.001016002032004064,0.000762001524003048,0.000254000508001016,0.000889001778003556,0.000508001016002032,0.001016002032004064,0.00063500127000254,0.0,0.0,0.0,0.0
2024-06,1.0,0.0003883495145631068,0.0007766990291262136,0.000517799352750809,0.0011650485436893205,0.0011650485436893205,0.0006472491909385113,0.0,0.0,0.0,0.0,0.0
2024-07,1.0,0.0007602635580334517,0.0012671059300557526,0.0007602635580334517,0.0003801317790167258,0.0007602635580334517,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,1.0,0.00038819875776397513,0.0009057971014492754,0.0007763975155279503,0.0011645962732919255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,1.0,0.0005344021376085504,0.0009352037408149633,0.0006680026720106881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,1.0,0.000891492613346918,0.0006367804381049414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,1.0,0.0006589351607801792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
